HOME


The Paramony
An internet version of Biblical References for The Urantia Book
by Duane Faw

Key to Column Headings

1  Pg.Ppg — Refers to page numbering in Urantia Foundation editions of The Urantia Book. Paragraphs are numbered with the first full paragraph from the top of the page and are numbered sequentially down the page.
2  P:S.p — Refers to Paper number, section number within the paper, and the paragraph number within the section. The P:S.p links to the referenced paragraph of the Standardized version of The Urantia Book.
3  Key Words — The words or concepts which, in the mind of the author, connect the Bible and The Urantia Book.
4  Bible Notation — Bible book, such as 1 Corinthians, chapter, and verse numbers. The Bible notation links to the referenced book, chapter and verse of the King James translation of the Bible.
5  Class — Categorizations for references in which:
S = "Same" — Both books recite the same incident.
R = "Refer" — One book quotes from, or refers to an incident contained in, the other.
C = "Compare" — One book relates matter which, although not the same as the other, is significant to reinforce, modify or contradict the other.
1 Pg.Ppg	2 P:S.p	3 Key Words	4 Bible Book Ch:Vs	5 Class
4:12-13	0:2.9	God as Creator of heaven, earth+	Isaiah 45:12	C
4:12-13	0:2.9	God as Creator of everything+	Isaiah 42:5	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Isaiah 37:16	C
4:12-13	0:2.9	God as Upholder+	Isaiah 41:10	C
10:01-03	0:6.9	Spirit light	Isaiah 9:2	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Jeremiah 32:17	C
4:12-13	0:2.9	God as Creator of everything+	Jeremiah 51:15	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Jeremiah 10:11	C
4:12-13	0:2.9	God as Controller+	Job 38:1	C
10:01-03	0:6.9	Spirit light	1 John 1:5	C
10:01-03	0:6.9	Spirit light	1 John 2:8	C
15:39	0:12.2	Paradise Trinity	1 John 5:7	C
4:12-13	0:2.9	God as Creator of everything+	John 1:1	C
8:42	0:5.10	People do Father's will+	John 14:21	R
8:42	0:5.10	People do Father's will+	John 7:16	R
8:42	0:5.10	People do Father's will+	John 9:31	R
8:42	0:5.10	People do Father's will+	John 15:10	R
10:01-03	0:6.9	Spirit light	John 1:4	C
10:01-03	0:6.9	Spirit light	John 9:5	C
10:01-03	0:6.9	Spirit light	John 3:19	C
10:01-03	0:6.9	Spirit light	John 8:12	C
10:01-03	0:6.9	Spirit light	John 12:46	C
4:18-22	0:2.12	God the Supreme+	Joshua 22:22	C
4:12-13	0:2.9	God as Creator of heaven, earth+	2 Kings 19:15	C
7:31	0:4.11	Paradise	Luke 23:43	C
8:42	0:5.10	People do Father's will+	Luke 8:21	R
8:42	0:5.10	People do Father's will+	Luke 11:2	R
10:01-03	0:6.9	Spirit light	Luke 1:79	C
10:01-03	0:6.9	Spirit light	Luke 2:32	C
4:12-13	0:2.9	God as Creator of man+	Malachi 2:10	C
4:12-13	0:2.9	God as Creator of everything+	Mark 13:19	C
8:42	0:5.10	People do Father's will+	Mark 3:35	R
8:42	0:5.10	People do Father's will+	Matthew 6:10	R
8:42	0:5.10	People do Father's will+	Matthew 7:21	R
8:42	0:5.10	People do Father's will+	Matthew 12:50	R
10:01-03	0:6.9	Spirit light	Matthew 4:16	C
10:01-03	0:6.9	Spirit light	Matthew 5:14	C
15:39	0:12.2	Paradise Trinity	Matthew 28:19	C
4:12-13	0:2.9	God as Creator of everything+	Nehemiah 9:6	C
4:12-13	0:2.9	God as Creator of everything+	1 Peter 4:19	C
4:18-22	0:2.12	God the Supreme+	1 Peter 2:13	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Psalms 115:15	C
4:12-13	0:2.9	God as Controller+	Psalms 148:6	C
4:12-13	0:2.9	God as Controller+	Psalms 104:1	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Psalms 121:2	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Psalms 124:8	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Psalms 134:3	C
4:12-13	0:2.9	God as Creator of everything+	Psalms 146:6	C
4:12-13	0:2.9	God as Upholder+	Psalms 37:17	C
4:12-13	0:2.9	God as Upholder+	Psalms 63:8	C
4:12-13	0:2.9	God as Upholder+	Psalms 145:14	C
4:18-22	0:2.12	God the Supreme+	Psalms 136:2	C
8:42	0:5.10	People do Father's will+	Psalms 143:10	R
4:12-13	0:2.9	God as Creator of everything+	Revelation 4:11	C
4:12-13	0:2.9	God as Creator of everything+	Revelation 10:6	C
4:12-13	0:2.9	God as Creator of heaven, earth+	Revelation 14:7	C
7:31	0:4.11	Paradise	Revelation 2:7	C
5:09	0:3.2	Eternal God+	Romans 1:20	C
4:12-13	0:2.9	God as Creator of wisdom+	Sirach 1:1	C
4:12-13	0:2.9	God as Creator of man+	Sirach 33:10	C
8:42	0:5.10	People do Father's will+	Sirach 15:11	R
5:09	0:3.2	Eternal God+	1 Timothy 1:17	C
21:08-09	1:0.1	No God beside you+	2 Samuel 7:22	C
21:08-09	1:0.1	No God beside you+	Deuteronomy 4:35	C
21:08-09	1:0.1	No God beside you+	1 Chronicles 17:20	C
21:08-09	1:0.1	No God beside you+	1 Samuel 2:2	C
21:08-09	1:0.1	No God beside you+	Isaiah 44:6	C
21:08-09	1:0.1	No God beside you+	Isaiah 45:5	C
21:08-09	1:0.1	No God beside you+	Deuteronomy 6:4	C
21:08-09	1:0.1	No God beside you+	Ephesians 4:6	C
21:08-09	1:0.1	No God beside you+	Galatians 3:20	C
21:08-09	1:0.1	No God beside you+	Mark 12:29	C
21:08-09	1:0.1	No God beside you+	Romans 3:30	C
21:08-09	1:0.1	No God beside you+	James 2:19	C
21:08-09	1:0.1	No God beside you+	John 17:3	C
21:08-09	1:0.1	No God beside you+	Psalms 86:10	C
21:08-09	1:0.1	No God beside you+	Sirach 36:5	C
21:08-09	1:0.1	No God beside you+	1 Corinthians 8:4	C
21:08-09	1:0.1	No God beside you+	1 Timothy 2:5	C
21:08-09	1:0.1	No God beside you+	Nehemiah 9:6	C
21:08-09	1:0.1	No God beside you+	2 Kings 19:19	C
21:08-09	1:0.1	No God beside you+	Isaiah 37:16	C
21:08-12	1:0.1	Pt 1: You are God alone	Nehemiah 9:6	R
21:08-12	1:0.1	Pt 2: By sons of God all made	Psalms 33:6	R
21:08-12	1:0.1	Pt 3: Creator covers self	Psalms 104:2	R
21:09-10	1:0.1	God created heaven & earth+	Genesis 1:1	C
21:09-10	1:0.1	God created heaven & earth+	Psalms 115:15	C
21:09-10	1:0.1	God created heaven & earth+	Acts of the Apostles 14:15	C
21:09-10	1:0.1	God created heaven & earth+	Isaiah 37:16	C
21:09-10	1:0.1	God created heaven & earth+	2 Kings 19:15	C
21:09-10	1:0.1	God created heaven & earth+	Isaiah 42:5	C
21:09-10	1:0.1	God created heaven & earth+	Exodus 31:17	C
21:09-10	1:0.1	God created heaven & earth+	Genesis 2:4	C
21:09-10	1:0.1	God created heaven & earth+	Acts of the Apostles 4:24	C
21:09-10	1:0.1	God created heaven & earth+	Isaiah 45:12	C
21:09-10	1:0.1	God created heaven & earth+	Colossians 1:16	C
21:09-10	1:0.1	God created heaven & earth+	Exodus 20:11	C
21:09-10	1:0.1	God created heaven & earth+	Psalms 146:6	C
21:09-10	1:0.1	God created heaven & earth+	Jeremiah 32:17	C
21:09-10	1:0.1	God created heaven & earth+	Revelation 14:7	C
21:09-10	1:0.1	God created heaven & earth+	Psalms 121:2	C
21:09-10	1:0.1	God created heaven & earth+	Psalms 134:3	C
21:09-10	1:0.1	God created heaven & earth+	Jeremiah 51:15	C
21:09-10	1:0.1	God created heaven & earth+	Revelation 10:6	C
21:09-10	1:0.1	God created heaven & earth+	Psalms 124:8	C
21:09-10	1:0.1	God created heaven & earth+	Jeremiah 10:11	C
21:09-10	1:0.1	God created heaven & earth+	2 Chronicles 2:12	C
21:09-10	1:0.1	God created heaven & earth+	Nehemiah 9:6	C
21:09-10	1:0.1	God created heaven & earth+	Revelation 4:11	C
21:09-10	1:0.1	God created heaven & earth+	Isaiah 40:28	C
21:10-11	1:0.1	Universes made by sons of God	John 1:1	C
21:10-11	1:0.1	Universes made by sons of God	Hebrews 1:2	C
21:10-11	1:0.1	Universes made by sons of God	Psalms 33:6	C
21:18-20	1:0.2	Created earth to be inhabited	Isaiah 45:18	R
21:18-20	1:0.2	Created earth to be inhabited	Psalms 115:16	R
21:30	1:0.3	God inhabits eternity	2 Esdras 8:20	C
21:30	1:0.3	God inhabits eternity	Isaiah 57:15	C
21:30-31	1:0.3	Be you perfect	1 Kings 8:61	C
21:30-31	1:0.3	Be you perfect	Genesis 17:1	C
21:30-31	1:0.3	Be you perfect	Leviticus 19:2	C
21:30-31	1:0.3	Be you perfect	Deuteronomy 18:13	C
21:30-31	1:0.3	Be you perfect	Matthew 5:48	C
21:30-31	1:0.3	Be you perfect	2 Corinthians 13:11	C
21:30-31	1:0.3	Be you perfect	James 1:4	C
21:30-31	1:0.3	Be you perfect	1 Peter 1:16	C
22:15-16	1:0.6	Be you perfect	1 Kings 8:61	C
22:15-16	1:0.6	Be you perfect	Genesis 17:1	C
22:15-16	1:0.6	Be you perfect	Leviticus 19:2	C
22:15-16	1:0.6	Be you perfect	Deuteronomy 18:13	C
22:15-16	1:0.6	Be you perfect	Matthew 5:48	C
22:15-16	1:0.6	Be you perfect	2 Corinthians 13:11	C
22:15-16	1:0.6	Be you perfect	James 1:4	C
22:15-16	1:0.6	Be you perfect	1 Peter 1:16	C
22:28-30	1:1.1	Calling God "our Father"+	Luke 11:2	C
22:28-30	1:1.1	Calling God "our Father"+	Matthew 6:9	C
22:28-30	1:1.1	Calling God "our Father"+	Sirach 51:10	C
22:28-30	1:1.1	Calling God "our Father"+	Psalms 89:26	C
22:28-30	1:1.1	Calling God "our Father"+	Romans 1:7	C
22:40	1:1.2	In God man lives, moves..	Acts of the Apostles 17:28	R
23:14	1:1.4	Father of lights	James 1:17	C
23:14-15	1:1.4	Gift of life	Acts of the Apostles 17:25	C
23:14-15	1:1.4	Gift of life	Romans 6:23	C
23:15	1:1.4	God's power	Jeremiah 10:12	C
23:15	1:1.4	God's power	Jeremiah 27:5	C
23:15	1:1.4	God's power	Jeremiah 32:17	C
23:15	1:1.4	God's power	Nahum 1:3	C
23:15	1:1.4	God's power	1 Chronicles 29:11	C
23:15	1:1.4	God's power	Deuteronomy 9:29	C
23:15	1:1.4	God's power	Exodus 9:16	C
23:15	1:1.4	God's power	Exodus 15:6	C
23:15	1:1.4	God's power	Nehemiah 1:10	C
23:15	1:1.4	God's power	Numbers 14:17	C
23:15	1:1.4	God's power	Psalms 106:8	C
23:15	1:1.4	God's power	Psalms 111:6	C
23:15	1:1.4	God's power	Psalms 147:5	C
23:15	1:1.4	God's power	Psalms 59:16	C
23:15	1:1.4	God's power	Jeremiah 51:15	C
23:15	1:1.4	God's power	Job 36:22	C
23:15	1:1.4	God's power	Job 37:23	C
23:15	1:1.4	God's power	2 Samuel 22:33	C
23:15	1:1.4	God's power	Matthew 28:18	C
23:24	1:1.5	Calling God "our Father"+	Romans 1:7	R
23:24	1:1.5	Calling God "our Father"+	Matthew 6:9	R
23:24	1:1.5	Calling God "our Father"+	Sirach 51:10	R
23:24	1:1.5	Calling God "our Father"+	Psalms 89:26	R
23:24	1:1.5	Calling God "our Father"+	Luke 11:2	R
23:27-29	1:1.6	Calling God "God"+	Genesis 46:3	C
23:27-29	1:1.6	Calling God "God"+	Exodus 3:6	C
23:31	1:1.6	Everlasting God+	Isaiah 40:28	C
23:31	1:1.6	Everlasting God+	Psalms 90:2	C
23:31	1:1.6	Everlasting God+	Genesis 21:33	C
23:31-32	1:1.6	Inhabits eternity	2 Esdras 8:20	C
23:31-32	1:1.6	Inhabits eternity	Isaiah 57:15	C
23:37	1:2.1	God is not a man	Numbers 23:19	C
23:37	1:2.1	God is not a man	1 Samuel 15:29	C
24:09	1:2.3	God consciousness	Psalms 100:3	C
24:09	1:2.3	God consciousness	Titus 1:16	C
24:10	1:2.3	God seeking	Job 23:3	C
24:10	1:2.3	God seeking	2 Chronicles 19:3	C
24:10	1:2.3	God seeking	Psalms 14:2	C
24:10	1:2.3	God seeking	Sirach 39:1	C
24:10	1:2.3	God seeking	Psalms 53:2	C
24:10	1:2.3	God seeking	Psalms 69:32	C
24:10	1:2.3	God seeking	2 Chronicles 30:18	C
24:11	1:2.3	Desire to do Father's will+	Psalms 143:10	C
24:11	1:2.3	Desire to do Father's will+	Matthew 6:10	C
24:11	1:2.3	Desire to do Father's will+	Mark 3:35	C
24:11	1:2.3	Desire to do Father's will+	Luke 8:21	C
24:11	1:2.3	Desire to do Father's will+	John 4:34	C
24:11	1:2.3	Desire to do Father's will+	John 14:21	C
24:11	1:2.3	Desire to do Father's will+	Sirach 15:11	C
24:11	1:2.3	Desire to do Father's will+	John 5:30	C
24:11	1:2.3	Desire to do Father's will+	John 6:38	C
24:11	1:2.3	Desire to do Father's will+	John 7:16	C
24:11	1:2.3	Desire to do Father's will+	John 9:31	C
24:11	1:2.3	Desire to do Father's will+	Luke 11:2	C
24:11	1:2.3	Desire to do Father's will+	Luke 22:42	C
24:11	1:2.3	Desire to do Father's will+	Mark 14:36	C
24:11	1:2.3	Desire to do Father's will+	Matthew 7:21	C
24:11	1:2.3	Desire to do Father's will+	Matthew 12:50	C
24:11	1:2.3	Desire to do Father's will+	Matthew 26:39	C
24:11	1:2.3	Desire to do Father's will+	John 15:10	C
24:11	1:2.3	Desire to do Father's will+	John 17:4	C
25:01-02	1:3.1	God is a spirit	John 4:24	R
25:03-04	1:3.1	Only true God	1 Timothy 1:17	R
25:04	1:3.1	Offspring of God+	Acts of the Apostles 17:28	R
25:04	1:3.1	Offspring of God+	Ephesians 1:5	C
25:04	1:3.1	Offspring of God+	Galatians 3:26	C
25:04	1:3.1	Offspring of God+	Galatians 4:5	C
25:04	1:3.1	Offspring of God+	Isaiah 56:5	C
25:04	1:3.1	Offspring of God+	John 1:12	C
25:04	1:3.1	Offspring of God+	John 11:52	C
25:04	1:3.1	Offspring of God+	Luke 20:36	C
25:04	1:3.1	Offspring of God+	Matthew 5:9	C
25:04	1:3.1	Offspring of God+	Philippians 2:15	C
25:04	1:3.1	Offspring of God+	Revelation 21:7	C
25:04	1:3.1	Offspring of God+	Romans 8:14	C
25:04	1:3.1	Offspring of God+	Romans 9:26	C
25:04	1:3.1	Offspring of God+	1 John 3:1	C
25:04	1:3.1	Offspring of God+	1 John 5:2	C
25:04	1:3.1	Offspring of God+	2 Corinthians 6:18	C
25:04	1:3.1	Offspring of God+	Hebrews 12:5	C
25:04	1:3.1	Offspring of God+	Psalms 2:7	C
25:04	1:3.1	Offspring of God+	Psalms 89:26	C
25:04	1:3.1	Offspring of God+	1 Chronicles 22:10	C
25:04	1:3.1	Offspring of God+	2 Samuel 7:14	C
25:06	1:3.1	In God's image	Genesis 1:26	R
25:06	1:3.1	In God's image	Genesis 9:6	R
25:10-11	1:3.2	I see Him not...	Job 9:11	R
25:17-18	1:3.3	Cannot see my face..	Exodus 33:20	R
25:22-23	1:3.3	Light none can approach	1 Timothy 6:16	R
26:17	1:3.8	Pt 1: God is spirit	John 4:24	R
26:17	1:3.8	Pt 2: God is love	1 John 4:8	R
26:27	1:4.2	Bodies are temples of God	Luke 17:21	C
26:27	1:4.2	Bodies are temples of God	1 Corinthians 3:16	R
26:27	1:4.2	Bodies are temples of God	2 Corinthians 6:16	R
26:27	1:4.2	Bodies are temples of God	1 Corinthians 6:19	R
26:27	1:4.2	Bodies are temples of God	Revelation 21:3	C
26:27	1:4.2	Bodies are temples of God	Romans 8:9	C
26:27	1:4.2	Bodies are temples of God	1 John 4:12	C
26:27	1:4.2	Bodies are temples of God	2 Timothy 1:14	C
26:29	1:4.2	Draw all men (spirit gravity)	John 6:44	R
26:29	1:4.2	Draw all men (spirit gravity)	Jeremiah 31:3	R
26:29	1:4.2	Draw all men (spirit gravity)	John 12:32	R
26:29-30	1:4.2	I stand at door and knock	Revelation 3:20	R
26:37	1:4.3	Body returns to earth	Ecclesiastes 3:20	R
26:37	1:4.3	Body returns to earth	Genesis 3:19	R
26:37	1:4.3	Body returns to earth	Sirach 33:10	R
26:37	1:4.3	Body returns to earth	Genesis 2:7	R
26:37-38	1:4.3	Spirit returns to God	Ecclesiastes 12:7	R
26:37-38	1:4.3	Spirit returns to God	Ecclesiastes 3:21	R
27:08	1:4.6	God is no respecter of persons	Acts of the Apostles 10:34	C
27:08	1:4.6	God is no respecter of persons	2 Chronicles 19:7	C
27:08	1:4.6	God is no respecter of persons	Romans 2:11	C
27:08	1:4.6	God is no respecter of persons	Galatians 2:6	C
27:08	1:4.6	God is no respecter of persons	Ephesians 6:9	C
27:08	1:4.6	God is no respecter of persons	Job 34:19	C
27:08	1:4.6	God is no respecter of persons	Sirach 35:12	C
27:08	1:4.6	God is no respecter of persons	Galatians 3:28	C
27:08	1:4.6	God is no respecter of persons	Colossians 3:11	C
27:21-22	1:5.1	Author of ear hear; eye see	Psalms 94:9	R
27:38-39	1:5.3	Light no human can near	1 Timothy 6:16	R
27:40-42	1:5.3	Pt 1: Measures waters in hand	Isaiah 40:12	R
27:42-43	1:5.3	Pt 2: Sits on circle of earth	Isaiah 40:22	R
27:43-45	1:5.3	Lift up your eyes...	Isaiah 40:26	R
27:43-45	1:5.3	God calls stars by name	Psalms 147:4	R
27:45-46	1:5.3	Invisible partly understood	Romans 1:20	R
28:05-06	1:5.4	God's love for world	John 3:16	C
28:05-06	1:5.4	God's love for world	Romans 5:8	C
28:05-06	1:5.4	God's love for world	1 John 4:9	C
28:05-06	1:5.4	God's love for world	2 Corinthians 5:18	C
28:06	1:5.4	He delights in His children	Deuteronomy 10:15	R
28:06	1:5.4	He delights in His children	Proverbs 8:31	R
28:06	1:5.4	He delights in His children	Jeremiah 9:24	R
28:12-13	1:5.5	See Father in Son	John 12:45	C
28:12-13	1:5.5	See Father in Son	John 14:7	C
28:13-14	1:5.5	Seek Father in Son	Matthew 11:27	C
28:13-14	1:5.5	Seek Father in Son	Luke 10:22	C
28:14-15	1:5.5	Man cannot see God	John 1:18	C
28:14-15	1:5.5	Man cannot see God	Exodus 33:20	C
28:19-20	1:5.6	Father and Son one	John 1:1	C
28:19-20	1:5.6	Father and Son one	John 17:11	C
28:19-20	1:5.6	Father and Son one	John 5:17	C
28:19-20	1:5.6	Father and Son one	John 10:30	C
28:19-20	1:5.6	Father and Son one	John 14:7	C
28:19-20	1:5.6	Father and Son one	John 12:44	C
28:29	1:5.8	# 1 Know and be known	John 8:19	R
28:29	1:5.8	# 1 Know and be known	1 Corinthians 13:12	R
28:29	1:5.8	# 1 Know and be known	John 10:14	R
28:29	1:5.8	# 2 Love and be loved	1 John 4:19	R
28:29	1:5.8	# 2 Love and be loved	John 14:21	R
28:30-31	1:5.8	Friendship with God	James 2:23	C
28:30-31	1:5.8	Friendship with God	2 Chronicles 20:7	C
28:30-31	1:5.8	Friendship with God	John 15:14	C
29:33	1:5.16	God shares your afflictions	Isaiah 63:9	R
29:33-34	1:5.16	God triumphs with you	2 Corinthians 2:14	R
29:42	1:5.16	In Him we live and move ...	Acts of the Apostles 17:28	R
30:40	1:6.8	God is a spirit	John 4:24	C
31:02	1:7.1	The living God	Matthew 16:16	R
31:02	1:7.1	The living God	John 6:57	R
31:36	1:7.6	The Lord God is one+	Deuteronomy 4:35	R
31:36	1:7.6	The Lord God is one+	Mark 12:29	R
31:36	1:7.6	The Lord God is one+	Galatians 3:20	R
31:36	1:7.6	The Lord God is one+	1 Corinthians 8:4	R
31:36	1:7.6	The Lord God is one+	Romans 3:30	R
31:36	1:7.6	The Lord God is one+	Ephesians 4:6	R
31:36	1:7.6	The Lord God is one+	Sirach 36:5	R
31:36	1:7.6	The Lord God is one+	Isaiah 44:6	R
31:36	1:7.6	The Lord God is one+	Deuteronomy 6:4	R
31:36	1:7.6	The Lord God is one+	Isaiah 45:5	R
31:36	1:7.6	The Lord God is one+	John 17:3	R
31:36	1:7.6	The Lord God is one+	1 Timothy 2:5	R
31:36	1:7.6	The Lord God is one+	James 2:19	R
31:36	1:7.6	The Lord God is one+	Psalms 86:10	R
31:36	1:7.6	The Lord God is one+	Nehemiah 9:6	R
31:36	1:7.6	The Lord God is one+	1 Chronicles 17:20	R
31:36	1:7.6	The Lord God is one+	1 Samuel 2:2	R
31:36	1:7.6	The Lord God is one+	2 Kings 19:19	R
31:36	1:7.6	The Lord God is one+	2 Samuel 7:22	R
31:36	1:7.6	The Lord God is one+	Isaiah 37:16	R
33:35	2:1.1	Pt 1: Touching the infinite	Job 37:23	R
33:35-36	2:1.1	Pt 2: Divine footsteps	Psalms 77:19	R
33:36	2:1.1	Pt 1: Understanding is infinite	Psalms 147:5	R
33:36	2:1.1	Pt 1: Understanding is infinite	Job 12:13	R
33:36	2:1.1	Pt 2: Greatness unsearchable	Psalms 145:3	R
33:38	2:1.1	God dwells in thick darkness	1 Kings 8:12	R
33:38	2:1.1	God dwells in thick darkness	2 Chronicles 6:1	R
33:38	2:1.1	God dwells in thick darkness	Deuteronomy 4:11	R
33:38	2:1.1	God dwells in thick darkness	Exodus 20:21	R
33:38	2:1.1	God dwells in thick darkness	Deuteronomy 5:22	R
33:39	2:1.1	Marvels without number	Job 5:9	R
33:39	2:1.1	Marvels without number	Job 9:10	R
33:39-41	2:1.1	God is great	Job 36:26	R
34:02-03	2:1.1	Heaven of heavens	1 Kings 8:27	R
34:02-03	2:1.1	Heaven of heavens	2 Chronicles 2:6	R
34:02-03	2:1.1	Heaven of heavens	Nehemiah 9:6	R
34:02-03	2:1.1	Heaven of heavens	Psalms 148:4	R
34:02-03	2:1.1	Heaven of heavens	2 Chronicles 6:18	R
34:02-03	2:1.1	Heaven of heavens	Deuteronomy 10:14	R
34:03-04	2:1.1	Unsearchable judgments	Romans 11:33	R
34:05	2:1.2	Pt 1: One God, the Father+	1 Corinthians 8:6	R
34:05	2:1.2	Pt 1: One God, the Father+	Malachi 2:10	R
34:05	2:1.2	Pt 1: One God, the Father+	Ephesians 4:6	R
34:05	2:1.2	Pt 2: A faithful Creator	1 Peter 4:19	R
34:06	2:1.2	Faithful and Divine Creator+	John 1:1	C
34:06	2:1.2	Faithful and Divine Creator+	Psalms 124:8	C
34:06	2:1.2	Faithful and Divine Creator+	Genesis 5:1	C
34:06	2:1.2	Faithful and Divine Creator+	Isaiah 40:26	C
34:06	2:1.2	Faithful and Divine Creator+	Isaiah 45:12	C
34:06	2:1.2	Faithful and Divine Creator+	Mark 13:19	C
34:06	2:1.2	Faithful and Divine Creator+	Malachi 2:10	C
34:06	2:1.2	Faithful and Divine Creator+	Nehemiah 9:6	C
34:06	2:1.2	Faithful and Divine Creator+	Psalms 115:15	C
34:06	2:1.2	Faithful and Divine Creator+	Sirach 1:1	C
34:06	2:1.2	Faithful and Divine Creator+	Sirach 33:10	C
34:06	2:1.2	Faithful and Divine Creator+	2 Kings 19:15	C
34:06	2:1.2	Faithful and Divine Creator+	Isaiah 42:5	C
34:06	2:1.2	Faithful and Divine Creator+	Hebrews 1:2	C
34:06	2:1.2	Faithful and Divine Creator+	Isaiah 37:16	C
34:06	2:1.2	Faithful and Divine Creator+	Revelation 4:11	C
34:06	2:1.2	Faithful and Divine Creator+	Psalms 134:3	C
34:06	2:1.2	Faithful and Divine Creator+	Genesis 2:4	C
34:06	2:1.2	Faithful and Divine Creator+	Ephesians 3:9	C
34:06	2:1.2	Faithful and Divine Creator+	Colossians 1:16	C
34:06	2:1.2	Faithful and Divine Creator+	Baruch 3:32	C
34:06	2:1.2	Faithful and Divine Creator+	Acts of the Apostles 4:24	C
34:06	2:1.2	Faithful and Divine Creator+	Exodus 31:17	C
34:06	2:1.2	Faithful and Divine Creator+	Acts of the Apostles 14:15	C
34:06	2:1.2	Faithful and Divine Creator+	Amos 4:13	C
34:06	2:1.2	Faithful and Divine Creator+	Psalms 121:2	C
34:06	2:1.2	Faithful and Divine Creator+	Exodus 20:11	C
34:06	2:1.2	Faithful and Divine Creator+	Jeremiah 51:15	C
34:06	2:1.2	Faithful and Divine Creator+	Jeremiah 32:17	C
34:06	2:1.2	Faithful and Divine Creator+	Jeremiah 10:11	C
34:06	2:1.2	Faithful and Divine Creator+	Psalms 146:6	C
34:06	2:1.2	Faithful and Divine Creator+	Revelation 10:6	C
34:06	2:1.2	Faithful and Divine Creator+	Genesis 1:1	C
34:06	2:1.2	Faithful and Divine Creator+	Revelation 14:7	C
34:06	2:1.2	Faithful and Divine Creator+	2 Chronicles 2:12	C
34:06	2:1.2	Faithful and Divine Creator+	1 Peter 4:19	C
34:06	2:1.2	God as Disposer	Job 34:13	C
34:06	2:1.2	God as Disposer	Proverbs 16:33	C
34:06-07	2:1.2	God, our source & destiny	Isaiah 41:4	C
34:06-07	2:1.2	God, our source & destiny	Revelation 1:8	C
34:06-07	2:1.2	God, our source & destiny	Isaiah 44:6	C
34:06-07	2:1.2	God, our source & destiny	Revelation 21:6	C
34:06-07	2:1.2	God, our source & destiny	Revelation 22:13	C
34:07	2:1.2	Primal mind	Isaiah 40:28	C
34:07	2:1.2	Primal mind	Philippians 2:5	C
34:07	2:1.2	Primal mind	1 Corinthians 2:16	C
34:07	2:1.2	Unlimited spirit	Psalms 104:30	C
34:08	2:1.2	No mistakes	2 Samuel 22:31	C
